📡央视频道[V4],#genre#
CCTV2,http://119.135.1.16:6699/live/1002/index.m3u8
CCTV3,http://119.135.1.16:6699/live/1003/index.m3u8
CCTV4,http://119.135.1.16:6699/live/1004/index.m3u8
CCTV5,http://119.135.1.16:6699/live/1005/index.m3u8
CCTV5+,http://119.135.1.16:6699/live/1018/index.m3u8
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV7,http://119.135.1.16:6699/live/1007/index.m3u8
CCTV8,http://119.135.1.16:6699/live/1008/index.m3u8
CCTV9,http://119.135.1.16:6699/live/1009/index.m3u8
CCTV10,http://119.135.1.16:6699/live/1010/index.m3u8
CCTV11,http://119.135.1.16:6699/live/1011/index.m3u8
CCTV12,http://119.135.1.16:6699/live/1012/index.m3u8
CCTV13,http://119.135.1.16:6699/live/1013/index.m3u8
CCTV14,http://119.135.1.16:6699/live/1014/index.m3u8
CCTV15,http://119.135.1.16:6699/live/1015/index.m3u8
CCTV16,http://119.135.1.16:6699/live/1016/index.m3u8
CCTV17,http://119.135.1.16:6699/live/1017/index.m3u8
世界地理,http://119.135.1.16:6699/live/1087/index.m3u8
兵器科技,http://119.135.1.16:6699/live/1083/index.m3u8
第一剧场,http://119.135.1.16:6699/live/1081/index.m3u8
怀旧剧场,http://119.135.1.16:6699/live/1088/index.m3u8
风云剧场,http://119.135.1.16:6699/live/1082/index.m3u8
风云足球,http://119.135.1.16:6699/live/1080/index.m3u8
文化精品,http://119.135.1.16:6699/live/1079/index.m3u8
高尔网球,http://119.135.1.16:6699/live/1078/index.m3u8
央视台球,http://119.135.1.16:6699/live/1077/index.m3u8
电视指南,http://119.135.1.16:6699/live/1084/index.m3u8
影迷电影,http://119.135.1.16:6699/live/1066/index.m3u8


CCTV4欧洲,http://ygbh666.cn/aikmigu.php?id=cctv4o
CCTV4美洲,http://ygbh666.cn/aikmigu.php?id=cctv4a
CGTN纪录,http://ygbh666.cn/aikmigu.php?id=cgtnjl
CGTN西语,http://ygbh666.cn/aikmigu.php?id=cgtne
CGTN阿语,http://ygbh666.cn/aikmigu.php?id=cgtna
CGTN法语,http://ygbh666.cn/aikmigu.php?id=cgtnf
CGTN俄语,http://ygbh666.cn/aikmigu.php?id=cgtnr
发现之旅,http://ygbh666.cn/aikmigu.php?id=fxzl
央老故事,http://ygbh666.cn/aikmigu.php?id=lgs
央中学生,http://ygbh666.cn/aikmigu.php?id=zxs
家庭影院,http://ygbh666.cn/aikmigu.php?id=chcjt
动作电影,http://ygbh666.cn/aikmigu.php?id=chcdz

CGTN纪录,http://ygbh666.cn/aikmigu.php?id=cgtnjl
CGTN西语,http://ygbh666.cn/aikmigu.php?id=cgtne
CGTN阿语,http://ygbh666.cn/aikmigu.php?id=cgtna
CGTN法语,http://ygbh666.cn/aikmigu.php?id=cgtnf
CGTN俄语,http://ygbh666.cn/aikmigu.php?id=cgtnr
CHC家庭影院,http://ygbh666.cn/aikmigu.php?id=chcjt
CHC动作电影,http://ygbh666.cn/aikmigu.php?id=chcdz

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$可回看
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$可回看
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$可回看
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$可回看
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$可回看
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8$可回看
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$可回看
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$可回看
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8$可回看
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$可回看
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8$可回看
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$可回看
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$可回看
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8$可回看
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8$可回看
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8$可回看
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8$可回看
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8$可回看
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$可回看
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$可回看
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8$可回看
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8$可回看
CCTV2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8$可回看
CCTV2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8$可回看
CCTV3,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8$可回看
CCTV4,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8$可回看
CCTV5,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8$可回看
CCTV5+,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8$可回看
CCTV6,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8$可回看
CCTV7,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8$可回看
CCTV8,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8$可回看
CCTV9,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8$可回看
CCTV10,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225730/index.m3u8$可回看
CCTV11,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225597/index.m3u8$可回看
CCTV12,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8$可回看
CCTV13,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226011/index.m3u8$可回看
CCTV14,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8$可回看
CCTV15,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225601/index.m3u8$可回看
CCTV16,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8$可回看
CCTV17,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8$可回看


📡卫视频道[V4],#genre#
东方卫视,http://ygbh666.cn/aikmigu.php?id=dfws
吉林卫视,http://ygbh666.cn/aikmigu.php?id=jlws
青海卫视,http://ygbh666.cn/aikmigu.php?id=qhws
陕西卫视,http://ygbh666.cn/aikmigu.php?id=sxws
湖北卫视,http://ygbh666.cn/aikmigu.php?id=hubws
江西卫视,http://ygbh666.cn/aikmigu.php?id=jxws
江苏卫视,http://ygbh666.cn/aikmigu.php?id=jsws
广东卫视,http://ygbh666.cn/aikmigu.php?id=gdws
湾区卫视,http://ygbh666.cn/aikmigu.php?id=dwqws
东方卫视,http://ygbh666.cn/aikmigu.php?id=dfws
吉林卫视,http://ygbh666.cn/aikmigu.php?id=jlws
青海卫视,http://ygbh666.cn/aikmigu.php?id=qhws
陕西卫视,http://ygbh666.cn/aikmigu.php?id=sxws
湖北卫视,http://ygbh666.cn/aikmigu.php?id=hubws
江西卫视,http://ygbh666.cn/aikmigu.php?id=jxws
江苏卫视,http://ygbh666.cn/aikmigu.php?id=jsws
广东卫视,http://ygbh666.cn/aikmigu.php?id=gdws
大湾区卫视,http://ygbh666.cn/aikmigu.php?id=dwqws
海南卫视,http://ygbh666.cn/aikmigu.php?id=hinws
重庆卫视,http://ygbh666.cn/aikmigu.php?id=cqws
辽宁卫视,http://ygbh666.cn/aikmigu.php?id=lnws
内蒙古卫视,http://ygbh666.cn/aikmigu.php?id=nmws
宁夏卫视,http://ygbh666.cn/aikmigu.php?id=nxws
甘肃卫视,http://ygbh666.cn/aikmigu.php?id=gsws
山东卫视,http://ygbh666.cn/aikmigu.php?id=sdws
湖南卫视,http://ygbh666.cn/aikmigu.php?id=hunws
四川卫视,http://ygbh666.cn/aikmigu.php?id=scws
新疆卫视,http://ygbh666.cn/aikmigu.php?id=xjws
西藏卫视,http://ygbh666.cn/aikmigu.php?id=xzws
四海钓鱼,http://ygbh666.cn/aikmigu.php?id=shdy
江苏教育,http://ygbh666.cn/aikmigu.php?id=jsjy
山东教育,http://ygbh666.cn/aikmigu.php?id=sdjy
北京卫视,http://182.104.192.98:8180/TV00000000000000000028@HHZT
东方卫视,http://117.114.153.18:8180/TV00000000000000000138@HHZT
江苏卫视,http://182.104.192.98:8180/TV00000000000000000031@HHZT
湖南卫视,http://182.104.192.98:8180/TV00000000000000000029@HHZT
广东卫视,http://182.104.192.98:8180/TV00000000000000000033@HHZT
深圳卫视,http://182.104.192.98:8180/TV00000000000000000035@HHZT
安徽卫视,http://117.114.153.18:8180/TV00000000000000000087@HHZT
东南卫视,http://182.104.192.98:8180/TV00000000000000000036@HHZT
天津卫视,http://117.114.153.18:8180/TV00000000000000000085@HHZT
江西卫视,http://182.104.192.98:8180/TV00000000000000000027@HHZT
湖北卫视,http://117.114.153.18:8180/TV00000000000000000086@HHZT
兵团卫视,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
黑龙江视,http://117.114.153.18:8180/TV00000000000000000084@HHZT
北京卫视,http://119.135.1.16:6699/live/1022/index.m3u8
东方卫视,http://119.135.1.16:6699/live/1028/index.m3u8
浙江卫视,http://119.135.1.16:6699/live/1020/index.m3u8
江苏卫视,http://119.135.1.16:6699/live/1021/index.m3u8
湖南卫视,http://119.135.1.16:6699/live/1019/index.m3u8
广东卫视,http://119.135.1.16:6699/live/1054/index.m3u8
深圳卫视,http://119.135.1.16:6699/live/1023/index.m3u8
安徽卫视,http://119.135.1.16:6699/live/1038/index.m3u8
山东卫视,http://119.135.1.16:6699/live/1025/index.m3u8
东南卫视,http://119.135.1.16:6699/live/1032/index.m3u8
天津卫视,http://119.135.1.16:6699/live/1027/index.m3u8
辽宁卫视,http://119.135.1.16:6699/live/1030/index.m3u8
海南卫视,http://119.135.1.16:6699/live/1044/index.m3u8
江西卫视,http://119.135.1.16:6699/live/1034/index.m3u8
湖北卫视,http://119.135.1.16:6699/live/1026/index.m3u8
广西卫视,http://119.135.1.16:6699/live/1031/index.m3u8
四川卫视,http://119.135.1.16:6699/live/1036/index.m3u8
河南卫视,http://119.135.1.16:6699/live/1029/index.m3u8
河北卫视,http://119.135.1.16:6699/live/1033/index.m3u8
重庆卫视,http://119.135.1.16:6699/live/1037/index.m3u8
青海卫视,http://119.135.1.16:6699/live/1039/index.m3u8
新疆卫视,http://119.135.1.16:6699/live/1047/index.m3u8
甘肃卫视,http://119.135.1.16:6699/live/1040/index.m3u8
陕西卫视,http://119.135.1.16:6699/live/1041/index.m3u8
吉林卫视,http://119.135.1.16:6699/live/1035/index.m3u8
兵团卫视,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
黑龙江视,http://119.135.1.16:6699/live/1024/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8



📡电信央卫[V4],#genre#
CCTV1HD,http://118.254.201.45:8888/udp/239.76.253.151:9000
CCTV1HD,http://118.254.201.45:8888/udp/239.76.246.151:1234
CCTV2HD,http://118.254.201.45:8888/udp/239.76.246.152:1234
CCTV3HD,http://118.254.201.45:8888/udp/239.76.246.153:1234
CCTV4HD,http://118.254.201.45:8888/udp/239.76.245.195:1234
CCTV4HD,http://118.254.201.45:8888/udp/239.76.246.154:1234
CCTV5HD,http://118.254.201.45:8888/udp/239.76.246.155:1234
CCTV5+hd,http://118.254.201.45:8888/udp/239.76.246.168:1234
CCTV6HD,http://118.254.201.45:8888/udp/239.76.246.156:1234
CCTV7HD,http://118.254.201.45:8888/udp/239.76.246.157:1234
CCTV8HD,http://118.254.201.45:8888/udp/239.76.246.158:1234
CCTV9HD,http://118.254.201.45:8888/udp/239.76.246.159:1234
CCTV10HD,http://118.254.201.45:8888/udp/239.76.246.160:1234
CCTV11HD,http://118.254.201.45:8888/udp/239.76.245.251:1234
CCTV12HD,http://118.254.201.45:8888/udp/239.76.246.162:1234
CCTV13HD,http://118.254.201.45:8888/udp/239.76.246.93:1234
CCTV14HD,http://118.254.201.45:8888/udp/239.76.246.164:1234
CCTV15HD,http://118.254.201.45:8888/udp/239.76.245.252:1234
CCTV16HD,http://118.254.201.45:8888/udp/239.76.246.98:1234
CCTV17HD,http://118.254.201.45:8888/udp/239.76.245.238:1234
CCTV16 4K,http://118.254.201.45:8888/udp/239.76.246.214:1234
CCTV16 4k,http://118.254.201.45:8888/udp/239.76.246.224:1234
CCTV16 4kHDR,http://118.254.201.45:8888/udp/239.76.246.230:1234
CCTV4欧洲HD,http://118.254.201.45:8888/udp/239.76.246.95:1234
CCTV4美洲HD,http://118.254.201.45:8888/udp/239.76.246.96:1234
CGTN英语HD,http://118.254.201.45:8888/udp/239.76.245.67:1234
CGTN记录HD,http://118.254.201.45:8888/udp/239.76.245.66:1234
CGTN俄语,http://118.254.201.45:8888/udp/239.76.246.86:1234
CGTN法语,http://118.254.201.45:8888/udp/239.76.246.87:1234
CGTN西班牙语,http://118.254.201.45:8888/udp/239.76.246.88:1234
体育,http://118.254.201.45:8888/udp/239.76.246.136:1234
金鹰卡通FHD,http://118.254.201.45:8888/udp/239.76.245.120:1234
金鹰纪实FHD,http://118.254.201.45:8888/udp/239.76.245.122:1234
快乐垂钓FHD,http://118.254.201.45:8888/udp/239.76.245.127:1234
湖南教育HD,http://118.254.201.45:8888/udp/239.76.245.233:1234
茶频道HD,http://118.254.201.45:8888/udp/239.76.245.239:1234
凤凰中文HD,http://118.254.201.45:8888/udp/239.76.246.134:1234
凤凰中文HD,http://118.254.201.45:8888/udp/239.76.253.135:9000
凤凰资讯HD,http://118.254.201.45:8888/udp/239.76.253.134:9000
凤凰资讯HD,http://118.254.201.45:8888/udp/239.76.246.135:1234
广东卫视HD,http://118.254.201.45:8888/udp/239.76.245.189:1234
东南卫视HD,http://118.254.201.45:8888/udp/239.76.245.190:1234
安徽卫视HD,http://118.254.201.45:8888/udp/239.76.245.196:1234
辽宁卫视HD,http://118.254.201.45:8888/udp/239.76.245.197:1234
江西卫视HD,http://118.254.201.45:8888/udp/239.76.245.225:1234
河北卫视HD,http://118.254.201.45:8888/udp/239.76.245.199:1234
贵州卫视HD,http://118.254.201.45:8888/udp/239.76.245.198:1234
江苏卫视HD,http://118.254.201.45:8888/udp/239.76.246.181:1234
东方卫视HD,http://118.254.201.45:8888/udp/239.76.246.186:1234
浙江卫视HD,http://118.254.201.45:8888/udp/239.76.246.182:1234
北京卫视HD,http://118.254.201.45:8888/udp/239.76.246.184:1234
天津卫视HD,http://118.254.201.45:8888/udp/239.76.246.185:1234
深圳卫视HD,http://118.254.201.45:8888/udp/239.76.246.188:1234
湖北卫视HD,http://118.254.201.45:8888/udp/239.76.246.193:1234
山东卫视HD,http://118.254.201.45:8888/udp/239.76.246.195:1234
黑龙江卫视HD,http://118.254.201.45:8888/udp/239.76.246.200:1234
吉林卫视HD,http://118.254.201.45:8888/udp/239.76.246.201:1234
河南卫视HD,http://118.254.201.45:8888/udp/239.76.246.202:1234
海南卫视HD,http://118.254.201.45:8888/udp/239.76.246.203:1234
四川卫视HD,http://118.254.201.45:8888/udp/239.76.246.91:1234
重庆卫视HD,http://118.254.201.45:8888/udp/239.76.246.92:1234
甘肃卫视HD,http://118.254.201.45:8888/udp/239.76.246.94:1234
湖南卫视FHD,http://118.254.201.45:8888/udp/239.76.245.115:1234
湖南经视FHD,http://118.254.201.45:8888/udp/239.76.245.116:1234
湖南都市FHD,http://118.254.201.45:8888/udp/239.76.245.117:1234
湖南电视剧FHD,http://118.254.201.45:8888/udp/239.76.245.118:1234
湖南电影FHD,http://118.254.201.45:8888/udp/239.76.245.119:1234
湖南娱乐FHD,http://118.254.201.45:8888/udp/239.76.245.121:1234
湖南国际FHD,http://118.254.201.45:8888/udp/239.76.245.124:1234
湖南公共FHD,http://118.254.201.45:8888/udp/239.76.245.123:1234
中国教育1HD,http://118.254.201.45:8888/udp/239.76.245.192:1234
芒果乐搜,http://118.254.201.45:8888/udp/239.76.245.200:1234
芒果乐活,http://118.254.201.45:8888/udp/239.76.245.201:1234
长沙女姓HD,http://118.254.201.45:8888/udp/239.76.245.23:1234
长沙影视HD,http://118.254.201.45:8888/udp/239.76.245.204:1234
湘西综合,http://118.254.201.45:8888/udp/239.76.245.208:1234
湘西综合,http://118.254.201.45:8888/udp/239.76.245.209:1234
河南梨园HD,http://118.254.201.45:8888/udp/239.76.245.179:1234
文物宝库HD,http://118.254.201.45:8888/udp/239.76.245.180:1234
武术世界HD,http://118.254.201.45:8888/udp/239.76.245.181:1234
IPTV高清院线,http://118.254.201.45:8888/udp/239.76.245.217:1234
芒果乐淘,http://118.254.201.45:8888/udp/239.76.245.215:1234
IPTV抗战剧场,http://118.254.201.45:8888/udp/239.76.245.218:1234
IPTV古装剧场,http://118.254.201.45:8888/udp/239.76.245.219:1234
IPTV经典剧场,http://118.254.201.45:8888/udp/239.76.245.221:1234
IPTV家庭剧场,http://118.254.201.45:8888/udp/239.76.245.220:1234
IPTV广场舞,http://118.254.201.45:8888/udp/239.76.245.134:1234
IPTV4k,http://118.254.201.45:8888/udp/239.76.245.35:1234
IPTV电竞,http://118.254.201.45:8888/udp/239.76.245.136:1234
张家界2HD,http://118.254.201.45:8888/udp/239.76.245.235:1234
张家界综合HD,http://118.254.201.45:8888/udp/239.76.245.234:1234
CHC动作电影,http://118.254.201.45:8888/udp/239.76.245.243:1234
CHC高清电影,http://118.254.201.45:8888/udp/239.76.245.242:1234
CHC家庭影院,http://118.254.201.45:8888/udp/239.76.245.241:1234
快乐垂钓HD,http://118.254.201.45:8888/udp/239.76.246.5:1234
凤凰中文HD,http://118.254.201.45:8888/udp/239.76.253.135:9000
凤凰资讯HD,http://118.254.201.45:8888/udp/239.76.253.134:9000
凤凰资讯HD,http://118.254.201.45:8888/udp/239.76.246.8:1234
凤凰中文HD,http://118.254.201.45:8888/udp/239.76.246.7:1234
IPTV故事频道,http://118.254.201.45:8888/udp/239.76.246.41:1234
IPTV戏曲频道,http://118.254.201.45:8888/udp/239.76.246.40:1234
IPTV健康之路,http://118.254.201.45:8888/udp/239.76.246.42:1234
CGTN阿拉伯语,http://118.254.201.45:8888/udp/239.76.246.97:1234
湖南卫视HD,http://118.254.201.45:8888/udp/239.76.246.101:1234
湖南卫视FHD20M,http://118.254.201.45:8888/udp/239.76.246.100:1234
湖南经视HD,http://118.254.201.45:8888/udp/239.76.246.103:1234
湖南国际HD,http://118.254.201.45:8888/udp/239.76.246.102:1234
湖南都市HD,http://118.254.201.45:8888/udp/239.76.246.104:1234
湖南娱乐HD,http://118.254.201.45:8888/udp/239.76.246.105:1234
湖南电影HD,http://118.254.201.45:8888/udp/239.76.246.106:1234
湖南公共HD,http://118.254.201.45:8888/udp/239.76.246.109:1234
湖南电视剧HD,http://118.254.201.45:8888/udp/239.76.246.108:1234
金鹰卡通HD,http://118.254.201.45:8888/udp/239.76.246.107:1234
金鹰纪实HD,http://118.254.201.45:8888/udp/239.76.246.110:1234
长沙政法HD,http://118.254.201.45:8888/udp/239.76.246.122:1234
长沙新闻HD,http://118.254.201.45:8888/udp/239.76.246.121:1234
IPTV芒果互娱,http://118.254.201.45:8888/udp/239.76.246.126:1234
健康电视HD,http://118.254.201.45:8888/udp/239.76.246.127:1234
欢笑剧场4K,http://118.254.201.45:8888/udp/239.76.246.130:1234
都市剧场HD,http://118.254.201.45:8888/udp/239.76.246.215:1234
极速汽车HD,http://118.254.201.45:8888/udp/239.76.246.133:1234
动漫秀场HD,http://118.254.201.45:8888/udp/239.76.246.131:1234
游戏风云HD,http://118.254.201.45:8888/udp/239.76.246.132:1234
体育,http://118.254.201.45:8888/udp/239.76.253.136:9000
全纪实HD,http://118.254.201.45:8888/udp/239.76.246.137:1234
法治天地HD,http://118.254.201.45:8888/udp/239.76.246.138:1234
